================================================= Global Summary Table =================================================
Benchmark                  Model           Freq       IPC  Accuracy  Coverage  BW_Share |   Issued  Useful Useless    Late     Hit  Others
473.astar-s1.trace.gz      no1024          150     0.3925     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  150     0.3880     7.98%     5.66%    34.68% |   752151   60018  114054    3204  488855   86020
473.astar-s1.trace.gz      pythia1024      150     0.3790     8.74%     1.88%    33.45% |   227787   19911  159218     312   44072    4274
473.astar-s1.trace.gz      no2048          150     0.4208     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  150     0.4342     9.26%     6.57%    44.34% |   752087   69673   59471    1530  576065   45348
473.astar-s1.trace.gz      pythia2048      150     0.4183    12.96%     2.92%    44.23% |   239195   31001  125056     251   73969    8918
473.astar-s1.trace.gz      no4096          150     0.4252     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  150     0.4402     9.54%     6.77%    42.34% |   752148   71724   35914    1394  598355   44761
473.astar-s1.trace.gz      pythia4096      150     0.4266    16.77%     3.89%    42.93% |   245759   41215   84060     215  107034   13235
473.astar-s1.trace.gz      no256           300     0.3266     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   300     0.3194     4.44%     3.15%    21.44% |   752022   33399  289917    5640  146314  276752
473.astar-s1.trace.gz      pythia256       300     0.3230     5.51%     1.10%    14.06% |   211156   11628  183714     339   13808    1667
473.astar-s1.trace.gz      no512           300     0.3447     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   300     0.3420     6.02%     4.27%    21.77% |   752039   45263  222216    4905  254231  225424
473.astar-s1.trace.gz      pythia512       300     0.3427     8.54%     1.80%    16.77% |   222910   19034  176226     338   24596    2716
473.astar-s1.trace.gz      no1024          300     0.4104     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  300     0.4182     8.07%     5.73%    34.83% |   752224   60693  114209    2517  487188   87617
473.astar-s1.trace.gz      pythia1024      300     0.4110     9.22%     2.04%    34.25% |   234060   21586  163863     174   43494    4943
473.astar-s1.trace.gz      no2048          300     0.4331     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  300     0.4517     9.34%     6.63%    44.55% |   752255   70251   59591     954  576372   45087
473.astar-s1.trace.gz      pythia2048      300     0.4406    13.49%     3.09%    44.87% |   242502   32702  125588     164   74571    9477
473.astar-s1.trace.gz      no4096          300     0.4366     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  300     0.4551     9.61%     6.82%    42.56% |   752222   72257   35965     869  598598   44533
473.astar-s1.trace.gz      pythia4096      300     0.4459    17.36%     4.11%    43.77% |   251127   43592   83870     129  109406   14130
473.astar-s1.trace.gz      no256           600     0.3384     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   600     0.3409     4.91%     3.49%    21.68% |   752091   36943  289995    2044  140703  282406
473.astar-s1.trace.gz      pythia256       600     0.3398     6.13%     1.45%    16.30% |   251077   15390  216577     120   16953    2037
473.astar-s1.trace.gz      no512           600     0.3547     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   600     0.3600     6.41%     4.55%    22.01% |   752065   48202  222271    1936  251098  228558
473.astar-s1.trace.gz      pythia512       600     0.3575     8.02%     1.96%    18.84% |   259649   20819  204135     141   31648    2906
473.astar-s1.trace.gz      no1024          600     0.4150     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  600     0.4263     8.24%     5.85%    35.09% |   752227   61982  114227    1225  487066   87727
473.astar-s1.trace.gz      pythia1024      600     0.4216    11.47%     3.03%    38.13% |   280039   32120  184988     134   57478    5319
473.astar-s1.trace.gz      no2048          600     0.4362     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  600     0.4558     9.41%     6.68%    44.74% |   752288   70800   59596     405  576555   44932
473.astar-s1.trace.gz      pythia2048      600     0.4482    14.71%     3.95%    49.52% |   285010   41913  142737      52   89697   10611
473.astar-s1.trace.gz      no4096          600     0.4396     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  600     0.4587     9.67%     6.87%    42.76% |   752284   72772   35967     354  598805   44386
473.astar-s1.trace.gz      pythia4096      600     0.4529    18.12%     5.04%    48.74% |   295022   53467   95559      97  130677   15222
473.astar-s1.trace.gz      no256           1200    0.3413     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   1200    0.3465     4.96%     3.52%    21.70% |   752106   37296  290016    1645  139827  283322
473.astar-s1.trace.gz      pythia256       1200    0.3449     7.02%     1.91%    18.25% |   288222   20222  244844     256   20220    2680
473.astar-s1.trace.gz      no512           1200    0.3571     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   1200    0.3645     6.44%     4.57%    22.03% |   752086   48469  222299    1644  250722  228952
473.astar-s1.trace.gz      pythia512       1200    0.3620     8.72%     2.43%    20.90% |   295559   25760  229592     228   36477    3502
473.astar-s1.trace.gz      no1024          1200    0.4161     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  1200    0.4283     8.26%     5.86%    35.12% |   752232   62107  114227    1096  487049   87753
473.astar-s1.trace.gz      pythia1024      1200    0.4234    10.91%     3.10%    39.51% |   301247   32860  199443     103   63333    5508
473.astar-s1.trace.gz      no2048          1200    0.4370     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  1200    0.4568     9.42%     6.69%    44.77% |   752288   70872   59597     333  576572   44914
473.astar-s1.trace.gz      pythia2048      1200    0.4502    14.76%     4.24%    51.44% |   304031   44890  152892      77   95717   10455
473.astar-s1.trace.gz      no4096          1200    0.4403     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  1200    0.4596     9.68%     6.87%    42.78% |   752284   72835   35967     291  598821   44370
473.astar-s1.trace.gz      pythia4096      1200    0.4525    16.44%     4.64%    48.16% |   298779   49133   99734      57  133993   15862
473.astar-s1.trace.gz      no256           2400    0.3421     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   2400    0.3477     4.96%     3.52%    21.70% |   752111   37304  290028    1620  139649  283510
473.astar-s1.trace.gz      pythia256       2400    0.3454     6.00%     1.74%    19.20% |   306878   18401  264281     292   20898    3006
473.astar-s1.trace.gz      no512           2400    0.3578     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   2400    0.3655     6.45%     4.57%    22.03% |   752082   48473  222300    1631  250640  229038
473.astar-s1.trace.gz      pythia512       2400    0.3627     7.83%     2.33%    21.84% |   315485   24715  245826     309   40783    3852
473.astar-s1.trace.gz      no1024          2400    0.4165     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  2400    0.4288     8.26%     5.86%    35.12% |   752235   62117  114228    1085  487047   87758
473.astar-s1.trace.gz      pythia1024      2400    0.4227     8.94%     2.60%    39.82% |   308410   27569  211979      98   63163    5601
473.astar-s1.trace.gz      no2048          2400    0.4373     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  2400    0.4572     9.42%     6.69%    44.77% |   752288   70873   59597     332  576572   44914
473.astar-s1.trace.gz      pythia2048      2400    0.4489    12.94%     3.67%    50.39% |   300714   38905  156817      52   94299   10641
473.astar-s1.trace.gz      no4096          2400    0.4406     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  2400    0.4599     9.68%     6.87%    42.78% |   752284   72833   35967     293  598821   44370
473.astar-s1.trace.gz      pythia4096      2400    0.4526    16.14%     4.59%    48.37% |   301187   48618  102619      36  134391   15523
473.astar-s1.trace.gz      no256           4800    0.3425     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   4800    0.3482     4.96%     3.52%    21.70% |   752110   37304  290032    1615  139638  283521
473.astar-s1.trace.gz      pythia256       4800    0.3458     5.69%     1.68%    19.49% |   312725   17797  270468     427   20512    3521
473.astar-s1.trace.gz      no512           4800    0.3582     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   4800    0.3659     6.45%     4.57%    22.03% |   752086   48481  222303    1619  250614  229069
473.astar-s1.trace.gz      pythia512       4800    0.3614     5.54%     1.57%    21.08% |   299766   16603  243953     211   35287    3712
473.astar-s1.trace.gz      no1024          4800    0.4167     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  4800    0.4291     8.26%     5.86%    35.12% |   752236   62118  114228    1084  487045   87761
473.astar-s1.trace.gz      pythia1024      4800    0.4217     7.81%     2.23%    39.15% |   302285   23617  211297      87   61560    5724
473.astar-s1.trace.gz      no2048          4800    0.4375     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  4800    0.4574     9.42%     6.69%    44.77% |   752288   70873   59597     332  576572   44914
473.astar-s1.trace.gz      pythia2048      4800    0.4482    12.17%     3.48%    50.28% |   303423   36935  159842      50   95467   11129
473.astar-s1.trace.gz      no4096          4800    0.4407     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  4800    0.4601     9.68%     6.87%    42.78% |   752284   72832   35967     294  598821   44370
473.astar-s1.trace.gz      pythia4096      4800    0.4527    16.28%     4.58%    48.73% |   298080   48540  104812      32  128668   16028
473.astar-s1.trace.gz      no256           9600    0.3426     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder256   9600    0.3483     4.96%     3.52%    21.70% |   752102   37299  290027    1621  139638  283517
473.astar-s1.trace.gz      pythia256       9600    0.3454     4.93%     1.44%    19.33% |   308805   15226  270363     279   19853    3084
473.astar-s1.trace.gz      no512           9600    0.3583     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder512   9600    0.3660     6.45%     4.57%    22.03% |   752088   48481  222303    1622  250608  229074
473.astar-s1.trace.gz      pythia512       9600    0.3621     6.28%     1.86%    21.80% |   313038   19665  251693     250   37536    3894
473.astar-s1.trace.gz      no1024          9600    0.4168     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder1024  9600    0.4291     8.26%     5.86%    35.12% |   752235   62118  114228    1084  487045   87760
473.astar-s1.trace.gz      pythia1024      9600    0.4231     9.05%     2.64%    39.71% |   308957   27961  209326     115   65522    6033
473.astar-s1.trace.gz      no2048          9600    0.4375     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder2048  9600    0.4574     9.42%     6.69%    44.77% |   752288   70873   59597     332  576572   44914
473.astar-s1.trace.gz      pythia2048      9600    0.4488    12.47%     3.61%    50.66% |   307015   38275  160071      61   97619   10989
473.astar-s1.trace.gz      no4096          9600    0.4408     0.00%     0.00%     0.00% |        0       0       0       0       0       0
473.astar-s1.trace.gz      pathfinder4096  9600    0.4601     9.68%     6.87%    42.78% |   752284   72831   35967     295  598821   44370
473.astar-s1.trace.gz      pythia4096      9600    0.4527    16.18%     4.61%    48.59% |   301912   48853  103335      46  133853   15825
482.sphinx3-s0.trace.gz    no256           150     0.2940     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   150     0.2960    34.24%    32.19%    31.95% |   940304  322006   89539  405682   41121   81956
482.sphinx3-s0.trace.gz    pythia256       150     0.2968    37.37%    34.42%    33.64% |   921180  344275   88947  404854   14962   68142
482.sphinx3-s0.trace.gz    no512           150     0.2944     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   150     0.2967    34.36%    32.29%    32.48% |   940085  323025   85531  405277   43389   82863
482.sphinx3-s0.trace.gz    pythia512       150     0.2975    38.23%    35.38%    34.96% |   925495  353857   86400  404719   12817   67702
482.sphinx3-s0.trace.gz    no1024          150     0.3001     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  150     0.3010    34.18%    32.15%    34.91% |   941056  321641   82068  404399   49697   83251
482.sphinx3-s0.trace.gz    pythia1024      150     0.3019    38.70%    34.96%    37.23% |   903690  349710   80359  386227   20177   67217
482.sphinx3-s0.trace.gz    no2048          150     0.3141     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  150     0.3145    33.19%    31.24%    35.31% |   941637  312533   81439  400592   64315   82758
482.sphinx3-s0.trace.gz    pythia2048      150     0.3158    36.79%    34.08%    37.74% |   926541  340860   79718  402720   37095   66148
482.sphinx3-s0.trace.gz    no4096          150     1.3667     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  150     1.3286     0.87%     0.82%    51.72% |   941301    8210    7925    9546  901137   14483
482.sphinx3-s0.trace.gz    pythia4096      150     1.3323     0.93%     0.87%    51.56% |   937129    8731    7231    9540  899844   11783
482.sphinx3-s0.trace.gz    no256           300     0.4570     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   300     0.5362    38.14%    35.91%    34.85% |   941775  359218   89886  369453   43141   80077
482.sphinx3-s0.trace.gz    pythia256       300     0.5388    42.66%    38.42%    36.62% |   900955  384345   86336  356603    9806   63865
482.sphinx3-s0.trace.gz    no512           300     0.4562     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   300     0.5371    38.30%    36.03%    35.46% |   941186  360432   85820  368582   45399   80953
482.sphinx3-s0.trace.gz    pythia512       300     0.5400    42.66%    38.12%    36.90% |   893824  381306   81683  352701   11915   66219
482.sphinx3-s0.trace.gz    no1024          300     0.4626     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  300     0.5431    38.05%    35.82%    38.07% |   941825  358319   82209  368298   51621   81378
482.sphinx3-s0.trace.gz    pythia1024      300     0.5478    42.55%    38.45%    40.07% |   903932  384649   77141  357191   19198   65753
482.sphinx3-s0.trace.gz    no2048          300     0.4887     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  300     0.5654    36.97%    34.82%    38.49% |   941985  348264   81482  365120   66245   80874
482.sphinx3-s0.trace.gz    pythia2048      300     0.5705    41.21%    37.59%    40.82% |   912529  376042   78675  356151   35879   65782
482.sphinx3-s0.trace.gz    no4096          300     1.3889     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  300     1.3800     1.02%     0.96%    54.46% |   941485    9617    7932    8135  901356   14445
482.sphinx3-s0.trace.gz    pythia4096      300     1.3826     1.11%     1.02%    53.07% |   923616   10213    6479    8008  888086   10830
482.sphinx3-s0.trace.gz    no256           600     0.6052     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   600     0.7490    49.94%    46.90%    43.37% |   939335  469147   90117  257792   43891   78388
482.sphinx3-s0.trace.gz    pythia256       600     0.7642    54.50%    50.60%    46.20% |   928839  506171   89262  253399   11398   68609
482.sphinx3-s0.trace.gz    no512           600     0.6038     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   600     0.7535    50.09%    47.03%    44.18% |   939202  470447   86281  256970   46227   79277
482.sphinx3-s0.trace.gz    pythia512       600     0.7575    54.28%    49.39%    46.00% |   910128  494001   85622  247949   13968   68588
482.sphinx3-s0.trace.gz    no1024          600     0.6148     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  600     0.7601    49.88%    47.00%    47.69% |   942552  470107   82475  256694   53335   79941
482.sphinx3-s0.trace.gz    pythia1024      600     0.7735    54.61%    50.75%    50.84% |   929630  507628   80648  249451   22226   69677
482.sphinx3-s0.trace.gz    no2048          600     0.6494     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  600     0.7947    48.93%    46.11%    48.57% |   942767  461275   81753  252333   68079   79327
482.sphinx3-s0.trace.gz    pythia2048      600     0.8004    52.82%    48.77%    50.84% |   923598  487840   79481  249232   38481   68564
482.sphinx3-s0.trace.gz    no4096          600     1.3974     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  600     1.3963     1.17%     1.10%    57.41% |   941666   10980    7934    6629  901685   14438
482.sphinx3-s0.trace.gz    pythia4096      600     1.3996     1.20%     1.13%    53.86% |   940822   11278    5080    6832  907856    9776
482.sphinx3-s0.trace.gz    no256           1200    0.6528     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   1200    0.8605    54.28%    50.97%    46.52% |   939332  509869   90122  216984   44315   78042
482.sphinx3-s0.trace.gz    pythia256       1200    0.8745    57.25%    54.06%    49.02% |   944498  540751   92749  212623   26867   71508
482.sphinx3-s0.trace.gz    no512           1200    0.6512     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   1200    0.8583    53.91%    50.62%    47.01% |   939201  506317   86286  221037   46621   78940
482.sphinx3-s0.trace.gz    pythia512       1200    0.8726    56.96%    54.37%    50.07% |   954736  543829   88857  222630   26929   72491
482.sphinx3-s0.trace.gz    no1024          1200    0.6610     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  1200    0.8696    53.82%    50.72%    50.88% |   942558  507300   82479  219451   53862   79466
482.sphinx3-s0.trace.gz    pythia1024      1200    0.8778    58.10%    53.77%    53.54% |   925712  537809   83260  210197   23653   70793
482.sphinx3-s0.trace.gz    no2048          1200    0.6893     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  1200    0.9179    53.07%    50.01%    52.03% |   942616  500262   81690  213237   68647   78780
482.sphinx3-s0.trace.gz    pythia2048      1200    0.9342    56.01%    53.42%    55.06% |   953998  534310   81358  209029   55895   73406
482.sphinx3-s0.trace.gz    no4096          1200    1.3991     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  1200    1.4004     1.17%     1.10%    57.50% |   941472   11031    7926    6551  901544   14420
482.sphinx3-s0.trace.gz    pythia4096      1200    1.4035     1.25%     1.19%    53.92% |   950994   11907    4813    6802  917792    9680
482.sphinx3-s0.trace.gz    no256           2400    0.6633     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   2400    0.8968    55.18%    51.82%    47.18% |   939334  518354   90119  208421   44422   78018
482.sphinx3-s0.trace.gz    pythia256       2400    1.0152    70.27%    63.85%    56.72% |   908861  638664   96891  123901   26762   22643
482.sphinx3-s0.trace.gz    no512           2400    0.6613     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   2400    0.8938    54.88%    51.53%    47.73% |   939204  515422   86284  211859   46698   78941
482.sphinx3-s0.trace.gz    pythia512       2400    1.0148    69.34%    63.24%    57.20% |   912342  632608   92655  135226   26695   25158
482.sphinx3-s0.trace.gz    no1024          2400    0.6707     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  2400    0.9050    54.74%    51.58%    51.63% |   942553  515971   82477  210693   53957   79455
482.sphinx3-s0.trace.gz    pythia1024      2400    1.0279    69.19%    63.34%    61.84% |   915659  633571   85758  135573   35333   25424
482.sphinx3-s0.trace.gz    no2048          2400    0.6981     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  2400    0.9501    54.04%    50.92%    52.84% |   942588  509374   81689  204033   68749   78743
482.sphinx3-s0.trace.gz    pythia2048      2400    1.0509    69.47%    63.43%    64.08% |   913334  634513   84591  113984   54646   25600
482.sphinx3-s0.trace.gz    no4096          2400    1.3995     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  2400    1.4012     1.17%     1.10%    57.50% |   941472   11034    7926    6537  901544   14431
482.sphinx3-s0.trace.gz    pythia4096      2400    1.4066     1.60%     1.45%    61.45% |   907297   14530    5985    3833  872828   10121
482.sphinx3-s0.trace.gz    no256           4800    0.6662     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   4800    0.9087    55.33%    51.97%    47.30% |   939506  519835   90162  207047   44426   78036
482.sphinx3-s0.trace.gz    pythia256       4800    1.0297    70.90%    64.53%    57.25% |   910429  645470   97058  118987   26644   22270
482.sphinx3-s0.trace.gz    no512           4800    0.6642     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   4800    0.9057    55.02%    51.67%    47.85% |   939375  516839   86326  210544   46701   78965
482.sphinx3-s0.trace.gz    pythia512       4800    1.0253    69.44%    63.32%    57.26% |   912140  633392   92493  131704   29469   25082
482.sphinx3-s0.trace.gz    no1024          4800    0.6731     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  4800    0.9166    54.88%    51.72%    51.75% |   942726  517373   82519  209403   53964   79467
482.sphinx3-s0.trace.gz    pythia1024      4800    1.0390    69.74%    63.78%    62.23% |   914783  637977   86024  129730   35481   25571
482.sphinx3-s0.trace.gz    no2048          4800    0.7005     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  4800    0.9588    54.18%    51.06%    52.97% |   942758  510744   81731  202774   68748   78761
482.sphinx3-s0.trace.gz    pythia2048      4800    1.0566    70.11%    63.77%    64.39% |   909800  637847   85214  106893   54623   25223
482.sphinx3-s0.trace.gz    no4096          4800    1.3996     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  4800    1.4014     1.17%     1.10%    57.54% |   941645   11051    7928    6539  901690   14437
482.sphinx3-s0.trace.gz    pythia4096      4800    1.4065     1.54%     1.41%    60.65% |   914221   14109    5687    4016  880302   10107
482.sphinx3-s0.trace.gz    no256           9600    0.6666     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder256   9600    0.9116    55.38%    52.02%    47.33% |   939506  520317   90161  206554   44433   78041
482.sphinx3-s0.trace.gz    pythia256       9600    1.0332    70.69%    64.81%    57.45% |   917032  648295   96674  125520   16607   29936
482.sphinx3-s0.trace.gz    no512           9600    0.6646     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder512   9600    0.9086    55.05%    51.70%    47.87% |   939376  517145   86326  210228   46711   78966
482.sphinx3-s0.trace.gz    pythia512       9600    1.0279    70.11%    63.80%    57.62% |   910263  638146   92359  134313   18565   26880
482.sphinx3-s0.trace.gz    no1024          9600    0.6735     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder1024  9600    0.9201    54.94%    51.78%    51.80% |   942727  517928   82519  208837   53976   79467
482.sphinx3-s0.trace.gz    pythia1024      9600    1.0410    69.63%    63.67%    62.15% |   914630  636870   86382  134098   27483   29797
482.sphinx3-s0.trace.gz    no2048          9600    0.7008     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder2048  9600    0.9613    54.24%    51.12%    53.03% |   942756  511396   81731  202111   68755   78763
482.sphinx3-s0.trace.gz    pythia2048      9600    1.0555    70.21%    63.65%    64.28% |   906947  636723   85368  104553   53985   26318
482.sphinx3-s0.trace.gz    no4096          9600    1.3996     0.00%     0.00%     0.00% |        0       0       0       0       0       0
482.sphinx3-s0.trace.gz    pathfinder4096  9600    1.4014     1.17%     1.10%    57.54% |   941645   11051    7928    6539  901689   14438
482.sphinx3-s0.trace.gz    pythia4096      9600    1.4049     1.53%     1.40%    60.01% |   913924   13997    6133    4344  879097   10353
605.mcf-s1.trace.xz        no256           150     0.0866     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   150     0.0655     0.61%     0.57%    30.78% |   921173    5650  806277    9346    7882   92018
605.mcf-s1.trace.xz        pythia256       150     0.0768     1.40%     0.47%    15.15% |   334693    4673  324427     141    4154    1298
605.mcf-s1.trace.xz        no512           150     0.0867     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   150     0.0737     0.92%     0.85%    20.86% |   921150    8482  440966    8997  371588   91117
605.mcf-s1.trace.xz        pythia512       150     0.0773     3.02%     1.02%    14.93% |   335993   10153  309471     184   14288    1897
605.mcf-s1.trace.xz        no1024          150     0.0874     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  150     0.0876     2.31%     2.13%     3.50% |   920984   21294   13031    7554  791541   87564
605.mcf-s1.trace.xz        pythia1024      150     0.0784     6.31%     2.11%    22.39% |   334409   21117  279296     174   29723    4099
605.mcf-s1.trace.xz        no2048          150     0.0878     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  150     0.0876     2.31%     2.13%     3.50% |   920984   21294   13031    7554  791541   87564
605.mcf-s1.trace.xz        pythia2048      150     0.0802    12.81%     4.33%    22.90% |   337833   43277  229879      99   58030    6548
605.mcf-s1.trace.xz        no4096          150     0.0878     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder4096  150     0.0876     2.31%     2.13%     3.50% |   920984   21294   13031    7554  791541   87564
605.mcf-s1.trace.xz        pythia4096      150     0.0831    23.05%     7.98%    20.90% |   346010   79760  148633      87  107476   10054
605.mcf-s1.trace.xz        no256           300     0.1324     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder256   300     0.1130     0.67%     0.62%    30.80% |   921181    6164  806281    8781    7909   92046
605.mcf-s1.trace.xz        pythia256       300     0.1279     2.24%     0.45%     9.71% |   202012    4522  193756     137    2722     875
605.mcf-s1.trace.xz        no512           300     0.1325     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder512   300     0.1211     0.96%     0.89%    20.88% |   921158    8852  440976    8577  371614   91139
605.mcf-s1.trace.xz        pythia512       300     0.1282     3.42%     0.69%     9.55% |   202730    6929  185448     114    9020    1219
605.mcf-s1.trace.xz        no1024          300     0.1332     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder1024  300     0.1341     2.32%     2.13%     3.51% |   921191   21346   13069    7487  791692   87597
605.mcf-s1.trace.xz        pythia1024      300     0.1295     7.70%     1.58%    15.90% |   205781   15835  168205      81   18739    2921
605.mcf-s1.trace.xz        no2048          300     0.1337     0.00%     0.00%     0.00% |        0       0       0       0       0       0
605.mcf-s1.trace.xz        pathfinder2048  300     0.1341     2.32%     2.13%     3.51% |   921191   21346   13069    7487  791692   87597
